Macro-attribut;Chemin;Cas de test ;R‚sultat;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_maj]=sue!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00054;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_maj]=inf!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00055;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&filter[civilite.date_maj]=ine!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00056;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=civilite.date_maj&instance=VALEUR_REFERENCE;00057;KO;;;;;;
civilite;/referentiel/codification-backend/codifications?include=civilite&sort=-civilite.date_maj&instance=VALEUR_REFERENCE;00058;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.identifiant_unique_type_entite_juridique]=ega!6408c442-781a-4ffe-4bae-233c5cd527a3&instance=VALEUR_REFERENCE;00059;OK;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.identifiant_unique_type_entite_juridique]=neg!6408c442-781a-4ffe-4bae-233c5cd527a3&instance=VALEUR_REFERENCE;00060;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.id_metier]=ega!SCAG&instance=VALEUR_REFERENCE;00061;OK;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.id_metier]=neg!SCAG&instance=VALEUR_REFERENCE;00062;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.id_metier]=com!SCA&instance=VALEUR_REFERENCE;00063;OK;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.id_metier]=nco!SCA&instance=VALEUR_REFERENCE;00064;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.id_metier]=con!CAG&instance=VALEUR_REFERENCE;00065;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.id_metier]=ncn!CAG&instance=VALEUR_REFERENCE;00066;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.id_metier]=ter!CAG&instance=VALEUR_REFERENCE;00067;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.id_metier]=nte!CAG&instance=VALEUR_REFERENCE;00068;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=type_entite_juridique.id_metier&instance=VALEUR_REFERENCE;00069;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&sort=-type_entite_juridique.id_metier&instance=VALEUR_REFERENCE;00070;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.libelle]=ega!Centrale gÇ¸nÇ¸raliste&instance=VALEUR_REFERENCE;00071;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.libelle]=neg!Centrale gÇ¸nÇ¸raliste&instance=VALEUR_REFERENCE;00072;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.libelle]=com!Cen&instance=VALEUR_REFERENCE;00073;OK;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.libelle]=nco!Cen&instance=VALEUR_REFERENCE;00074;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.libelle]=con!ntr&instance=VALEUR_REFERENCE;00075;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.libelle]=ncn!ntr&instance=VALEUR_REFERENCE;00076;KO;;;;;;
type_entite_juridique;/referentiel/codification-backend/codifications?include=type_entite_juridique&filter[type_entite_juridique.libelle]=ter!ste&instance=VALEUR_REFERENCE;00077;OK;;;;;;
